,word,count
0,Inc.,9101
1,Company,7832
2,Group,6514
3,&,5974
4,Corporation,5594
5,and,4712
6,Bank,4138
7,of,4117
8,Limited,4064
9,The,3419
10,Ltd.,2785
11,International,2627
12,Ltd,2329
13,(company),2151
14,Co.,2022
15,Inc,1813
16,Entertainment,1674
17,de,1586
18,Media,1340
19,Systems,1333
20,LLC,1332
21,Holdings,1305
22,National,1268
23,Energy,1173
24,plc,1058
25,Software,1044
26,S.A.,1034
27,Services,1017
28,Corp.,1014
29,Technologies,993
30,Capital,991
31,Insurance,983
32,China,982
33,Communications,961
34,Industries,941
35,Power,932
36,American,922
37,AG,893
38,Studios,869
39,New,845
40,GmbH,814
41,Aircraft,789
42,Financial,785
43,Technology,771
44,Electric,764
45,Games,715
46,for,715
47,"Co.,",709
48,Motor,682
49,Incorporated,677
50,Partners,671
51,Productions,668
52,Co,665
53,Management,641
54,Global,639
55,Corp,629
56,Development,617
57,Health,615
58,Union,610
59,United,609
60,India,606
61,the,586
62,Research,573
63,Holding,568
64,Films,566
65,Network,565
66,Life,563
67,Trust,553
68,Brewery,544
69,Pictures,528
70,World,527
71,Association,526
72,Oil,519
73,Television,518
74,America,512
75,Music,509
76,Engineering,508
77,company),503
78,Investment,497
79,Foods,495
80,Credit,493
81,Society,485
82,Digital,471
83,Gas,463
84,Hotels,460
85,Solutions,454
86,Brewing,452
87,First,452
88,City,451
89,Canada,450
90,Radio,446
91,Stores,442
92,Center,441
93,Broadcasting,441
94,Food,438
95,General,437
96,Networks,433
97,Steel,430
98,Home,428
99,Film,428
100,Railway,425
101,SA,423
102,di,415
103,Institute,406
104,State,405
105,Resources,404
106,Products,400
107,Mobile,399
108,Motors,396
109,Manufacturing,394
110,Service,393
111,Telecom,393
112,Studio,389
113,Pacific,386
114,News,385
115,TV,384
116,-,374
117,North,371
118,Publishing,371
119,UK,370
120,Interactive,368
121,Electronics,363
122,AS,356
123,Banco,354
124,British,353
125,System,351
126,Brothers,346
127,AB,343
128,Australia,342
129,Sons,341
130,Sports,340
131,Construction,335
132,West,330
133,Pizza,328
134,"Group,",328
135,Royal,328
136,Petroleum,327
137,Aviation,324
138,Foundation,323
139,Works,322
140,Club,318
141,Line,317
142,Business,309
143,John,303
144,PLC,299
145,Building,299
146,J.,298
147,Disney,298
148,Blue,297
149,Central,297
150,Western,297
151,House,297
152,Industrial,293
153,Press,293
154,Enterprises,292
155,Car,291
156,USA,291
157,Design,289
158,South,283
159,Red,282
160,in,281
161,Transport,280
162,Star,280
163,Associates,280
164,Factory,280
165,Federal,278
166,Rail,277
167,Commercial,277
168,Companies,276
169,Fund,275
170,Water,272
171,Computer,272
172,A,267
173,List,265
174,Automobile,264
175,Iron,263
176,One,262
177,"Company,",261
178,Co-operative,261
179,Japan,259
180,company,259
181,Mining,255
182,Authority,255
183,Store,254
184,Video,252
185,Medical,251
186,des,249
187,Universal,248
188,Marine,248
189,S.p.A.,245
190,Southern,245
191,Industry,245
192,Pharmaceuticals,243
193,Resorts,243
194,group,242
195,Agency,242
196,Information,241
197,A.,241
198,Light,237
199,Gold,236
200,Records,236
201,Great,236
202,Air,233
203,Express,232
204,Centre,232
205,Hotel,231
206,Data,231
207,Sony,231
208,East,230
209,Post,230
210,Bell,229
211,Aerospace,228
212,Exchange,225
213,Shipping,225
214,Security,223
215,Banca,223
216,Asia,222
217,Public,222
218,Worldwide,220
219,Grupo,220
220,Shipbuilding,219
221,University,219
222,Standard,216
223,Big,215
224,Brands,213
225,Telephone,211
226,Canadian,211
227,S,210
228,Animation,209
229,Alliance,208
230,et,208
231,Société,207
232,Wireless,207
233,La,207
234,Properties,206
235,Plc,205
236,Coffee,205
237,Land,204
238,Real,204
239,Cable,203
240,Mutual,202
241,Comics,200
242,Fox,200
243,Production,196
244,bank,195
245,Laboratories,194
246,Automotive,194
247,Smith,194
248,Virgin,192
249,Kong,192
250,Chemical,192
251,"International,",191
252,Securities,190
253,Internet,189
254,London,189
255,Telecommunications,185
256,C.,185
257,Bus,184
258,Private,184
259,(automobile),184
260,Park,183
261,Community,182
262,Investments,182
263,Healthcare,182
264,by,182
265,Cassa,182
266,Northern,180
267,Hong,180
268,"Holdings,",179
269,York,179
270,Railways,176
271,Advanced,176
272,Labs,176
273,Europe,176
274,Solar,175
275,Finance,174
276,Board,173
277,du,172
278,ASA,172
279,Pty,171
280,(brand),170
281,Cooperative,170
282,Green,170
283,(typeface),170
284,Market,169
285,Auto,168
286,Family,168
287,Risparmio,167
288,Distribution,165
289,corporation,165
290,a,165
291,Game,164
292,Department,164
293,Enterprise,164
294,Plant,163
295,Lines,162
296,Banking,162
297,Arms,162
298,Sun,160
299,–,160
300,N.V.,160
301,Ventures,159
302,HSBC,159
303,Electricity,159
304,S.,158
305,Space,158
306,H.,156
307,Property,156
308,Restaurant,156
309,Compagnie,155
310,Coal,154
311,Morgan,154
312,Online,154
313,Education,154
314,Books,153
315,Australian,152
316,De,152
317,Black,152
318,Century,151
319,Brown,151
320,"Systems,",151
321,Diamond,150
322,Markets,150
323,KG,150
324,1,149
325,Warner,149
326,W.,148
327,Estate,148
328,Consulting,148
329,(restaurant),148
330,Electronic,148
331,Cars,146
332,Direct,145
333,Ford,145
334,Project,145
335,"Technologies,",144
336,y,144
337,White,143
338,Republic,142
339,William,142
340,Arts,142
341,Savings,142
342,del,142
343,Drug,142
344,Office,141
345,Hospital,141
346,Farm,141
347,Nintendo,140
348,River,140
349,Retail,140
350,US,140
351,Travel,140
352,Natural,139
353,Golden,139
354,Super,139
