('Rd\n', -0.24690950035210063)
('RD\n', -0.22418697047529229)
('JARVIS', 0.16461930998168725)
('Three', 0.13320733774669527)
('33', 0.12245534965515509)
('Fish', 0.11474942732043991)
('MILFORD', 0.097585118155405201)
('86', -0.096146978542820075)
('S', 0.095208791438503054)
('Colony', 0.086515686455200622)
('ST\n', -0.083234426615833371)
('Crse\n', -0.078576969209565792)
('St\n', 0.065342332761107874)
('40', -0.061351730870741687)
('Dr\n', -0.052381677606838636)
('14', 0.046852864935677224)
('Overlook', -0.043925837759386216)
('N', -0.041966783953917973)
('Cook', 0.039538215754090597)
('W\n', 0.039308083239392874)
('S\n', 0.038587671528028625)
('308', -0.037841160147372883)
('76', -0.036957856119214205)
('Trl\n', -0.036846469447132296)
('89', 0.036464979089904356)
('329', 0.035701892857600753)
('59', 0.035448101486233022)
('Old', -0.034815373646510772)
('Dziok', 0.034027287670789108)
('Spgs\n', 0.033974563239490697)
('Ohio\n', 0.032834865843917517)
('135', -0.032645633466811208)
('472', -0.032131832232195574)
('Morea', -0.031689492900757905)
('MIDDLE', 0.030717892098563342)
('46', -0.030550761051622806)
('471', 0.029860465352116505)
('Tpke\n', 0.029535158072912741)
('MACAULEY', -0.029413488475288112)
('South\n', -0.029128271008755414)
('WHITE', -0.029075130658749393)
('8516', 0.028211383411736266)
('2768\n', -0.027961140695024249)
('CIRCLE\n', 0.027458962076499237)
('Arrowhead', -0.027409456904619257)
('School', 0.026784754797156512)
('Shadow', 0.026754676960681751)
('Mile', 0.026612790583671133)
('KING', 0.026383299178722414)
('Ct\n', 0.025497938734297051)
('Cheshire', 0.025374058660039715)
('26', -0.024622697593519684)
('Myrtle', -0.024425424332654148)
('Attawanhood', 0.024330366266825321)
('Waterfront', 0.024009100972024997)
('US', 0.023809878505409981)
('House', 0.023548776757527423)
('Meadow', 0.023490302480880233)
('Bennetts', -0.022698712165152329)
('High', -0.022482540428256318)
('1173', -0.022214245380723394)
('Gertrude', 0.021882661668911878)
('Cedar', 0.021709157826992703)
('195', -0.021065193685443528)
('View', 0.020907035849868399)
('Settlement', -0.020866947867408264)
('150', -0.020808556054755002)
('Hawthorne', 0.02065448281158146)
('47', 0.020551935552569484)
('Soundview', 0.020307899162070701)
('Overhill', -0.020195194008877888)
('1', 0.020017795930786817)
('Neptune', -0.019931773843063879)
('12', 0.019918499933755978)
('Tree', 0.019856047728902832)
('73', -0.01985095991082058)
('87', -0.01951036092339235)
('Russell', -0.019346317476957923)
('280', -0.01931839226628302)
('1226', 0.019195893424047639)
('Langford', -0.018680689579439348)
('6', 0.01866692903474584)
('2505', 0.018653440157083069)
('24', -0.018557398753511464)
('75', -0.018517830688157509)
('Chestnut', 0.017859379151315798)
('1294', 0.017609307320038882)
('Sperry', -0.017456086020982493)
('WALNUT', 0.01743068499001851)
('Ridge', 0.017317020317385426)
('37', 0.017200979704594218)
('Weed', -0.01654322574156341)
('Ln\n', -0.016023333330724126)
('ALYCE', -0.015853790873923187)
('TPKE', -0.015427026984561403)
('Farmington', -0.015311883816113012)
('28', -0.014749797899353073)
('Pendleton', 0.014555742196085356)
('Sunny', -0.01439057826533289)
('Mountain', -0.012825559203852898)
