('VIRELLA\n', -0.11616080037674514)
('COFFEY\n', -0.11473633640782754)
('D', -0.1065490969031981)
('K', -0.10053018453266289)
('M', -0.086476556165821561)
('L', -0.085493459226744783)
('JOSE\n', -0.085404081116759414)
('N', -0.074014972234798512)
('SAN', -0.069010610242068976)
('MERCADO\n', 0.043697460142275393)
('SHAH\n', 0.034108786944052061)
('S', -0.032447339354661306)
('Valenzuela\n', 0.031748476444545551)
('PEREZ\n', 0.030763962696081174)
('ANDERSON\n', -0.028458068199704502)
('Phillip', -0.028084563167660743)
('Juanita', 0.027236612742660898)
('SCHILLING\n', 0.025499546304565898)
('Anita', 0.024945010865779289)
('Sandoval\n', -0.023877828081622018)
('Kathryn', -0.023617378738425298)
('DELA', -0.023519378889848109)
('Marlene', 0.023005891872742403)
('TOBIN\n', -0.022396808364514822)
('A', 0.022167302187721019)
('SHARELL', 0.021983409858936469)
('Shannon', -0.020873467984473971)
('Herrera\n', 0.020824768940102295)
('SANTIAGO\n', 0.019154029632333387)
('Riggs\n', -0.019048467413895175)
('Hurley\n', -0.018777918655396259)
('J', -0.018696329962414149)
('JIMENEZ\n', -0.018546315481592815)
('Guzman\n', 0.01801767092871686)
('BARNABY\n', -0.017912678378427083)
('Nathan', -0.01763427716308499)
('Stephanie', -0.017231463835750631)
('REYNOLDS\n', 0.017076174049729869)
('HARDIAL\n', 0.016381467792665569)
('Allison', 0.016326309670766655)
('LIMATO\n', 0.016264311377188197)
('SANTANGELO\n', -0.016141001329051583)
('YE\n', 0.016047646059874604)
('GRULLON', 0.01592449360769202)
('Z', 0.015354813692434138)
('Morton\n', 0.01482558876311027)
('GARCIA\n', -0.014696364287139156)
('Teresa', -0.014299270975706151)
('EDWARDS\n', 0.014227642542325987)
('Gregory\n', 0.014138614865697955)
('WLADIS\n', -0.014133904964892625)
('Bass\n', 0.014128851903592215)
('Payne\n', 0.01403895534362315)
('Love\n', -0.013928636168745333)
('H', -0.013682018630550742)
('Elizabeth', 0.013643363742249798)
('C', -0.013540272949998829)
('GOMEZDELATORRE\n', -0.013432746502649541)
('MATHIEU\n', -0.013380306096396689)
('REID\n', -0.013280879880378431)
('Arthur', -0.013186424439068591)
('Glen', 0.013125314077344652)
('Shannon\n', -0.01300033261448336)
('Brandi', -0.012856193126072205)
('Paul', -0.012794218577211918)
('B', -0.012664363307958566)
('Derek', -0.012620860201010867)
('DEVITO-RODRIGUE\n', 0.01246421776152757)
('Perkins\n', -0.012375681101264396)
('LEAKE\n', -0.012056486344440362)
('Alvarez\n', 0.011571039517853611)
('BRESNAHAN\n', 0.011475130142462705)
('Mariah', 0.011390678593726401)
('Matthew', 0.011368011510821428)
('Lester\n', -0.011056605070289043)
('KUZMA\n', 0.010817646749984375)
('Donaldson\n', -0.010344899175904355)
('Barker\n', 0.010178328848285534)
('R', -0.009970913365758758)
('IBERN\n', -0.0098178097149617515)
('LAZARO\n', 0.0098143140565096314)
('TAVERAS\n', 0.0097221752280982794)
('MYRIE\n', -0.0096375785681150281)
('Heath', -0.0089606271945682735)
('FERONE\n', -0.0086646315228300977)
('F', 0.0085349450468313638)
('Tessa', -0.008382273708335013)
('Gay\n', 0.0083148031298803712)
('Galloway\n', 0.0082945328671342224)
('Jack', -0.008286300553192719)
('DIZDAREVIC\n', 0.0082835237442480478)
('E', 0.0082419173825212556)
('G', -0.0077814755912543948)
('BUTASEK\n', -0.0071805297107204302)
('MAGRAS\n', 0.0071764728638811746)
('WILLIAMS', 0.0071719455353787933)
('Allen', -0.0070954206831918727)
('MORENO\n', -0.0067712470217849768)
('Roger', 0.0062588786337927759)
('BUCHANAN\n', -0.0058111855161056556)
